,seq,C3,dv,dvTot,tof,vInfF
0,EEVVEJ,3.12,4.75,11.37,2392.28,6.62
1,EEVVEJ,3.12,5.07,11.37,2019.14,6.30
2,EEVVEJ,3.12,5.08,11.44,2013.15,6.36
3,EEVEJ,3.12,4.96,11.50,1561.77,6.54
4,EEJ,35.83,5.44,11.60,1533.57,6.15
5,EEJ,34.30,5.54,11.64,1533.57,6.10
6,EEVVEJ,3.12,5.45,11.71,2025.13,6.27
7,EEJ,28.63,5.57,11.75,1523.57,6.17
8,EEVEEJ,3.12,5.20,11.77,2810.10,6.58
9,EEVVEJ,3.12,4.76,11.78,2351.48,7.02
10,EEVVEJ,3.12,5.12,11.82,1978.34,6.71
11,EEVVEJ,3.12,5.06,11.83,1972.34,6.76
12,EEVEJ,3.12,4.96,11.90,1520.96,6.94
13,EEVEJ,3.12,5.52,11.92,1612.78,6.41
14,EEJ,35.83,5.44,11.95,1492.77,6.51
15,EEJ,34.30,5.59,12.04,1492.77,6.45
16,EEVVEJ,3.12,5.60,12.06,2007.16,6.45
17,EEJ,28.63,5.56,12.09,1482.76,6.53
18,EEVVEJ,3.12,5.55,12.12,2398.27,6.57
19,EEVVEJ,3.12,5.54,12.20,1984.33,6.66
20,EEVVEJ,3.12,5.40,12.25,1966.35,6.84
21,EEVVEJ,3.12,5.56,12.25,2386.29,6.68
22,EEVEEJ,3.12,5.26,12.28,2769.29,7.01
