Result #,id,seq,C3,K,P,dateL,delta,dvLeg,dv,dvTot,h,n,,theta,tof,utc,vInfF,vInfI,vInfIVec,vInfO,vInfOVec
0,79230,EVEJ,19.71,"['None', 'None', 'None', 'None']","['3', '2', '3', '5']",-323092743.817657,"['None', 85.4403745863892, 91.39554394321031]","[0, 0.20932331559427375, 1.5031972530464612, 6.646842713946552]",1.71,8.35936328258729,"['None', 4350.60207091262, 955.770433791824]","[3971, 484, 42, 0]",,"['None', 'None', 'None', 'None']",1162.2815,"['1989 OCT 06', '1990 FEB 13', '1990 OCT 06', '1992 DEC 12']",6.64684271394655,"['None', 6.01734526880649, 7.591167152948897, 6.646842713946552]","['None', array([ 3.29841428, -3.35058406, -3.75532872]), array([-6.06536401, -3.44850792,  2.99081448]), array([-4.01945077,  5.23825486, -0.76499647])]","[4.439082821791675, 6.35694317540935, 9.932682492497964, 'None']","[array([ 2.30514752, -2.53864078,  2.819052  ]), array([-4.96335783, -1.86066017, -3.50909523]), array([-2.34726491,  8.54774198,  4.48158856]), 'None']"
1,79229,EVEJ,19.71,"['None', 'None', 'None', 'None']","['3', '2', '3', '5']",-323092743.817657,"['None', 85.4403745863892, 95.25082964145795]","[0, 0.20932331559427375, 1.3209378535347316, 7.3855171873237015]",1.53,8.91577835645271,"['None', 4350.60207091262, 837.1850400091353]","[3971, 484, 42, 0]",,"['None', 'None', 'None', 'None']",1099.71483333333,"['1989 OCT 06', '1990 FEB 13', '1990 OCT 06', '1992 OCT 10']",7.3855171873237,"['None', 6.01734526880649, 7.591167152948897, 7.3855171873237015]","['None', array([ 3.29841428, -3.35058406, -3.75532872]), array([-6.06536401, -3.44850792,  2.99081448]), array([-4.81897655,  5.57353682, -0.50893649])]","[4.439082821791675, 6.35694317540935, 9.675992822637483, 'None']","[array([ 2.30514752, -2.53864078,  2.819052  ]), array([-4.96335783, -1.86066017, -3.50909523]), array([-2.3710304 ,  8.84071848,  3.13763426]), 'None']"
2,358010,EVEEJ,20.75,"['None', 'None', 'None', 'None', 'None']","['3', '2', '3', '3', '5']",-326721543.817264,"['None', 51.73544507912196, 72.36414915874305, 36.87297806717485]","[0.08301337394814201, 0.4658337413346221, 0.9305750164842053, 0.9373004921192312, 6.7306096669241064]",2.42,9.14733229081031,"['None', 23972.703878186254, 1009.4748144029545, 11197.71195045782]","[3203, 339, 29, 5, 0]",,"['None', 'None', 'None', 'None', 'None']",2395.8195,"['1989 AUG 25', '1990 MAR 12', '1991 JAN 12', '1994 JAN 09', '1996 MAR 17']",6.73060966692411,"['None', 4.380020066503194, 8.921842879133596, 7.520973991228688, 6.7306096669241064]","['None', array([-0.44700958, -3.40388594,  2.71998506]), array([ 4.29933522, -7.69804672,  1.36201092]), array([-4.94886794e+00, -5.66336762e+00, -4.81258296e-03]), array([-5.31276057, -4.1259248 ,  0.22896755])]","[4.555149328947722, 5.035310493544441, 7.414832357634692, 8.738933427650917, 'None']","[array([ 2.06791161, -3.73215819, -1.59503047]), array([ 3.37448292, -3.568554  ,  1.11024283]), array([-5.05305997e+00, -5.42644503e+00, -4.26442132e-03]), array([-8.53687758, -1.82438653,  0.40285533]), 'None']"
3,493941,EVVEJ,19.71,"['None', 'None', 'None', 'None', 'None']","['3', '2', '2', '3', '5']",-323092743.817657,"['None', 97.94504204801696, 58.573907461084886, 26.374519018173995]","[0, 0.5004667606737616, 1.1972691268251392, 0.3221470106849935, 7.277807697640308]",2.02,9.2976905958242,"['None', 3341.367270820917, 4679.55970853354, 1647.2511057862912]","[3971, 484, 41, 6, 0]",,"['None', 'None', 'None', 'None', 'None']",1904.4845,"['1989 OCT 06', '1990 FEB 13', '1991 APR 14', '1992 OCT 17', '1994 DEC 24']",7.27780769764031,"['None', 6.01734526880649, 6.769224183300136, 13.841990331935568, 7.277807697640308]","['None', array([ 3.29841428, -3.35058406, -3.75532872]), array([-3.05553742, -6.03973107,  0.08795299]), array([-12.85302665,  -4.97837256,   1.2713021 ]), array([-7.2352281 , -0.65440827,  0.43555606])]","[4.439082821791675, 6.836216192474924, 8.482433394393304, 14.237067496667729, 'None']","[array([ 2.30514752, -2.53864078,  2.819052  ]), array([-5.51921637, -4.0256016 ,  0.25813598]), array([-8.30432029, -0.77819282, -1.54413626]), array([-14.17434705,   0.87222648,  -1.01054322]), 'None']"
4,318284,EVEEJ,15.94,"['None', 'None', 'None', 'None', 'None']","['3', '2', '3', '3', '5']",-323092743.817657,"['None', 49.80411115074498, 73.21966617942013, 48.19713041823905]","[0, 0.47528240955554324, 0.9863308334278198, 1.186401148849237, 6.678324513318743]",2.65,9.32633890515134,"['None', 15598.027338974029, 891.2145924490314, 6895.644234635176]","[3971, 426, 37, 6, 0]",,"['None', 'None', 'None', 'None', 'None']",2360.6225,"['1989 OCT 06', '1990 MAR 20', '1991 JAN 19', '1994 JAN 16', '1996 MAR 24']",6.67832451331874,"['None', 5.676972140740186, 8.96542843742538, 7.453795427169336, 6.678324513318743]","['None', array([ 0.89911028, -2.51227369,  5.01079777]), array([ 5.25094116, -7.1794437 ,  1.12343764]), array([-4.2904312 , -6.09518073, -0.0061858 ]), array([-5.30482278, -4.04876978,  0.2575594 ])]","[3.9920314045526584, 4.99547614931624, 7.359162711603449, 9.081866243404852, 'None']","[array([ 1.99119684, -2.20534157, -2.66606797]), array([ 3.468633  , -3.32674444,  1.36240175]), array([-4.41811513e+00, -5.88536346e+00, -5.60818626e-03]), array([-9.0166893 , -1.05642474,  0.25214155]), 'None']"
5,203374,EEVEJ,27.93,"['None', 'None', 'None', 'None', 'None']","['3', '3', '2', '3', '5']",-332855943.815456,"['None', 128.24011065212304, 31.62543922512862, 50.70664541782201]","[0.8125829269953524, 0.17919582019147562, 0.1559205950340683, 1.2234975884327204, 7.17158678778785]",2.37,9.54278371844147,"['None', 8290.382789431587, 9288.534945342217, 17.463977204684852]","[3934, 469, 107, 8, 0]",,"['None', 'None', 'None', 'None', 'None']",2030.5695,"['1989 JUN 15', '1991 JUN 12', '1991 DEC 29', '1992 OCT 29', '1995 JAN 05']",7.17158678778785,"['None', 5.228452698816303, 8.355980982134009, 10.591867525049452, 7.17158678778785]","['None', array([ 4.98383993, -1.57996118,  0.04218844]), array([-8.29874857, -0.73300619,  0.64489705]), array([-7.25460799, -7.28252407,  2.55404849]), array([-7.09665946, -0.88281305,  0.53825897])]","[5.284718881994932, 4.912199577216904, 8.157445761713422, 12.302137135211252, 'None']","[array([ 4.94179856, -1.87219068,  0.04222199]), array([-3.96215589, -2.47716497, -1.51481983]), array([-6.78697132, -4.07497895, -1.96862596]), array([-12.20729758,   0.30548333,  -1.49370137]), 'None']"
6,454249,EVEEJ,28.73,"['None', 'None', 'None', 'None', 'None']","['3', '2', '3', '3', '5']",-320587143.81744,"['None', 77.26215108627726, 72.41952987425618, 37.828506178239245]","[0.8877951923155747, 0.04704094086922517, 0.9342695509327417, 0.9475837233824222, 6.726005370405075]",2.82,9.54269477790504,"['None', 10025.366258524744, 1002.5834899560923, 10736.580906354857]","[2889, 238, 21, 3, 0]",,"['None', 'None', 'None', 'None', 'None']",2325.4255,"['1989 NOV 04', '1990 MAR 13', '1991 JAN 12', '1994 JAN 09', '1996 MAR 17']",6.72600537040508,"['None', 5.103163894947751, 8.924200225962732, 7.515867193920499, 6.726005370405075]","['None', array([ 1.28730544, -1.83185184, -4.58578731]), array([ 4.37833674, -7.6592441 ,  1.34443182]), array([-4.89552134e+00, -5.70281564e+00, -4.92280028e-03]), array([-5.31116301, -4.12028419,  0.2322799 ])]","[5.359931147315154, 5.027677536812171, 7.410652709410207, 8.753649591315613, 'None']","[array([ 1.41068763, -2.62487804,  4.45520343]), array([ 3.38060746, -3.54522531,  1.13155296]), array([-5.00182868e+00, -5.46804026e+00, -4.37212823e-03]), array([-8.56648747, -1.75872887,  0.3854172 ]), 'None']"
7,704335,EVEEJ,21.75,"['None', 'None', 'None', 'None', 'None']","['3', '2', '3', '3', '5']",-321796743.817595,"['None', 59.84331347796959, 71.78319711845562, 24.877081166564068]","[0.1919217401225497, 0.170724229869041, 0.8922062470904404, 1.52474114294934, 6.871980635970527]",2.78,9.6515739960019,"['None', 13438.095214244957, 1033.9138897911862, 18432.8982011493]","[2872, 245, 18, 3, 0]",,"['None', 'None', 'None', 'None', 'None']",2325.4255,"['1989 OCT 21', '1990 FEB 27', '1990 DEC 29', '1993 DEC 26', '1996 MAR 03']",6.87198063597053,"['None', 5.167608761195021, 8.925137571753803, 7.611640289293973, 6.871980635970527]","['None', array([ 2.3341657 , -2.08878285, -4.11008966]), array([ 2.48493966, -8.41077625,  1.65589809]), array([-6.08326437e+00, -4.57503622e+00, -2.45318300e-03]), array([-5.41446147, -4.22023551, -0.31198899])]","[4.664057695122129, 5.4202456782603345, 7.4859040821480365, 9.444720979767705, 'None']","[array([ 1.725587  , -2.35307427,  3.63851964]), array([ 3.24952217, -4.29576686,  0.60502558]), array([-6.13112571e+00, -4.29511974e+00, -1.96524781e-03]), array([-8.20896441, -3.34205787,  3.26286791]), 'None']"
8,175375,EEVEJ,28.97,"['None', 'None', 'None', 'None', 'None']","['3', '3', '2', '3', '5']",-330436743.81623,"['None', 138.03269882731797, 83.95235376801979, 59.27234228973249]","[0.9105213298548813, 0.9338835186380727, 0.002787631277014313, 0.8509192705528239, 7.098427383125706]",2.70,9.7965391334485,"['None', 7452.227078364693, 6791.681871137379, 200.24050684273425]","[4158, 536, 110, 10, 0]",,"['None', 'None', 'None', 'None', 'None']",2013.057,"['1989 JUL 13', '1991 JUN 23', '1991 DEC 05', '1992 NOV 09', '1995 JAN 16']",7.09842738312571,"['None', 5.373916317119935, 5.497340284387339, 9.736605390496354, 7.098427383125706]","['None', array([5.06800591, 1.78724929, 0.00571841]), array([-5.04679744,  1.86028739,  1.13574495]), array([-5.76415578, -7.70283391,  1.4974453 ]), array([-6.98432212, -1.00877869,  0.7676467 ])]","[5.382657284854461, 3.5182149217881453, 5.492780725342182, 10.978915430618986, 'None']","[array([5.37667045, 0.25372841, 0.00601626]), array([-2.9168031 ,  0.41170624, -1.92369278]), array([-2.60902988, -4.71305543, -1.07271231]), array([-10.64179896,   0.35217327,  -2.67669067]), 'None']"
9,635470,EVVEJ,15.42,"['None', 'None', 'None', 'None', 'None']","['3', '2', '2', '3', '5']",-320587143.81744,"['None', 100.56543215441268, 47.93603725186418, 29.55493932027316]","[0, 0.5290924558462962, 1.8506099522979955, 0.23876996888009216, 7.245749791599166]",2.62,9.86422216862355,"['None', 808.467431911803, 8818.164547094548, 888.5026416822693]","[2889, 329, 22, 3, 0]",,"['None', 'None', 'None', 'None', 'None']",1879.7725,"['1989 NOV 04', '1990 FEB 06', '1991 APR 18', '1992 OCT 21', '1994 DEC 27']",7.24574979159917,"['None', 7.166003237629764, 6.178448763386276, 13.94069639634823, 7.245749791599166]","['None', array([ 5.22469433, -4.6180478 , -1.65160711]), array([-3.54483256, -5.05882809,  0.12509829]), array([-12.56820407,  -5.86504589,   1.40872255]), array([-7.1942127 , -0.73054164,  0.4588056 ])]","[3.926497983985158, 6.232404571967234, 8.665255984911365, 13.640863223608244, 'None']","[array([ 2.29081198, -2.7847202 ,  1.55399495]), array([-4.8983406 , -3.8471778 ,  0.21988416]), array([-8.4592783 , -1.19837614, -1.44608666]), array([-13.58067146,   0.63005226,  -1.11424694]), 'None']"
